"start_datetime_utc","end_datetime_utc","creation_datetime_utc","number_of_nights","total_night_cost","total_space_capacity","number_of_guests","lead_time_days","stay_length_days","cancellation_reason","settlement_type","reservation_state","origin","commander_origin","travel_agency","is_online_checkin","nationality_code","gender","classification","age_group","has_email","enterprise_time_zone","business_segment","tier","rate_id","cost_per_night","night_cost_per_unit_capacity","space_occupancy_rate","creation_week_day","rate_name"
"2020-05-08 13:00:00+00","2020-05-10 10:00:00+00","2019-09-01 21:31:45.38196+00",2,"337.022592",4,4,250,2,NULL,1,1,0,NULL,NULL,0,"GB",0,0,0,1,2,"Leisure",1,"F9842BC5-4135-4008-9554-43D1C12DDEDD","168.511296","42.127824","1.00","Sunday","Early - 60 days"
"2020-05-22 13:00:00+00","2020-05-25 10:00:00+00","2019-09-19 13:21:20.132353+00",3,"393.180033",9,6,246,3,NULL,0,1,1,NULL,"Expedia GB",0,NULL,1,0,0,1,2,"OTA Netto",1,"C0595866-7641-424E-9C53-B2FF82C366F9","131.060011","14.562223444444443","0.67","Thursday","Fully Flexible"
"2020-04-30 13:00:00+00","2020-05-03 10:00:00+00","2019-08-11 01:11:11.101127+00",3,"401.013237",0,6,263,3,10,0,4,1,NULL,"Expedia GB",0,NULL,1,0,0,1,2,"OTA Netto",1,"C0595866-7641-424E-9C53-B2FF82C366F9","133.671079","22.278513166666666","1","Sunday","Fully Flexible"
"2020-05-01 13:00:00+00","2020-05-04 10:00:00+00","2019-08-22 05:29:47.982457+00",3,"646.999197",9,6,253,3,NULL,0,1,1,NULL,"Expedia GB",0,NULL,1,0,0,1,2,"OTA Netto",1,"C0595866-7641-424E-9C53-B2FF82C366F9","215.66639899999998","23.962933222222222","0.67","Thursday","Fully Flexible"
"2020-05-02 13:00:00+00","2020-05-04 10:00:00+00","2019-10-09 18:47:18.864022+00",2,"596.882286",0,4,206,2,10,0,4,1,NULL,"Booking.com",0,"BE",1,0,0,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","298.441143","74.61028575","1","Wednesday","Fully Flexible"
"2020-05-23 13:00:00+00","2020-05-27 10:00:00+00","2019-08-31 19:31:36.976023+00",4,"692.166772",8,8,266,4,NULL,0,1,1,NULL,"Expedia GB",0,NULL,1,0,0,1,2,"OTA Netto",1,"C0595866-7641-424E-9C53-B2FF82C366F9","173.041693","21.630211625","1.00","Saturday","Fully Flexible"
"2020-05-10 13:00:00+00","2020-05-11 10:00:00+00","2019-08-21 06:25:20.564283+00",1,"168.121584",0,2,263,1,10,0,4,1,NULL,"Booking.com",0,"CN",1,0,0,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","168.121584","84.060792","1","Wednesday","Fully Flexible"
"2020-05-10 13:00:00+00","2020-05-12 10:00:00+00","2019-08-22 06:01:40.590898+00",2,"324.785648",4,4,262,2,NULL,0,1,1,NULL,"Booking.com",0,NULL,0,0,0,0,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","162.392824","40.598206","1.00","Thursday","Fully Flexible"
"2020-05-21 13:00:00+00","2020-05-25 10:00:00+00","2019-10-11 16:09:35.046165+00",4,"1120",8,8,223,4,NULL,0,1,1,NULL,"PROTRAVEL INTERNATIONAL",0,NULL,0,0,0,0,2,"Direct Business",1,"C0595866-7641-424E-9C53-B2FF82C366F9","280","35","1.00","Friday","Fully Flexible"
"2020-05-08 13:00:00+00","2020-05-10 10:00:00+00","2019-09-01 21:31:45.38196+00",2,"337.022592",4,4,250,2,NULL,1,1,0,NULL,NULL,0,"GB",0,0,0,1,2,"Leisure",1,"F9842BC5-4135-4008-9554-43D1C12DDEDD","168.511296","42.127824","1.00","Sunday","Early - 60 days"
"2020-05-20 13:00:00+00","2020-05-24 10:00:00+00","2019-09-12 21:41:24.08502+00",4,"463.445036",12,8,251,4,NULL,1,1,1,NULL,"Expedia GB",0,NULL,1,0,0,1,2,"OTA Netto",1,"352DBBC6-7B8D-4A4C-85A2-951532830D37","115.861259","9.655104916666668","0.67","Thursday","Min 4 nights"
"2020-05-10 13:00:00+00","2020-05-12 10:00:00+00","2019-08-22 06:01:40.590898+00",2,"324.785648",4,4,262,2,NULL,0,1,1,NULL,"Booking.com",0,"CN",1,0,0,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","162.392824","40.598206","1.00","Thursday","Fully Flexible"
